Text,Category,Cleaned_Text
The jury found the defendant robbery of all charges,Crime,juri found defend robberi charg
A new world record was set in historic,Sports,new world record set histor
The latest VR headset promises immersive experiences,Technology,latest vr headset promis immers experi
Cybersecurity experts warn about new server attacks,Technology,cybersecur expert warn new server attack
A new AI model can diagnose diseases with unprecedented accuracy,Technology,new ai model diagnos diseas unpreced accuraci
The reality TV show finale sparked actors,Entertainment,realiti tv show final spark actor
Researchers warn against the overuse of prioritized,Health,research warn overus priorit
The prime minister addressed the nation state,Politics,prime minist address nation state
The new curriculum focuses on science and rise,Education,new curriculum focus scienc rise
The weather department predicts transportation tomorrow,Weather,weather depart predict transport tomorrow
The debate team won the math championship,Education,debat team math championship
A school district banned literature in classrooms,Education,school district ban literatur classroom
Unseasonal flood has damaged local crops,Weather,unseason flood damag local crop
The manager was sacked after championship losses,Sports,manag sack championship loss
The football league season begins athletics,Sports,footbal leagu season begin athlet
Cryptocurrency markets private equity over the weekend,Business,cryptocurr market privat equiti weekend
Space exploration company launches a new internet satellite,Technology,space explor compani launch new internet satellit
Scientists discover a promising vitamins treatment,Health,scientist discov promis vitamin treatment
A surprise guest appearance shocked the controversy audience,Entertainment,surpris guest appear shock controversi audienc
Doctors recommend regular measles for better health,Health,doctor recommend regular measl better health
Government announces a new legislation policy,Politics,govern announc new legisl polici
Scientists discover a promising laser treatment,Health,scientist discov promis laser treatment
A major vulnerability was found in realistic,Technology,major vulner found realist
The gaming convention showcased highly anticipated endorsement titles,Entertainment,game convent showcas highli anticip endors titl
Cybersecurity experts warn about new silicon attacks,Technology,cybersecur expert warn new silicon attack
The tech giant faced a massive research outage,Technology,tech giant face massiv research outag
Snowfall disrupts daily life in mountain areas,Weather,snowfal disrupt daili life mountain area
The tech giant faced a massive the firmware outage,Technology,tech giant face massiv firmwar outag
Scientists discover a promising stress treatment,Health,scientist discov promis stress treatment
The judge sentenced the killer to trafficking years in prison,Crime,judg sentenc killer traffick year prison
The judge sentenced the not guilty to drug years in prison,Crime,judg sentenc guilti drug year prison
Tech stocks bullish significantly amid rally fears,Business,tech stock bullish significantli amid ralli fear
Court delivers verdict in a high-profile missing person case,Crime,court deliv verdict high profil miss person case
Small businesses receive paused funding,Business,small busi receiv paus fund
A serial murder was finally caught by detectives,Crime,serial murder final caught detect
The celebrity couple announced their historical,Entertainment,celebr coupl announc histor
Scientists discover a promising Asia treatment,Health,scientist discov promis asia treatment
The latest VR headset promises foldable experiences,Technology,latest vr headset promis foldabl experi
Nutrition experts encourage plant-based diets,Health,nutrit expert encourag plant base diet
Olympic athletes prepare for drew competition,Sports,olymp athlet prepar drew competit
Popular singer releases a new studio album,Entertainment,popular singer releas new studio album
Scientists discover a promising Alzheimer's treatment,Health,scientist discov promis alzheim treatment
Students prepare for final distance examinations,Education,student prepar final distanc examin
Opposition leaders amend the new delay,Politics,opposit leader amend new delay
Voter turnout was unusually amend during the education election,Politics,voter turnout unusu amend educ elect
Parliament passes a new region reform bill,Politics,parliament pass new region reform bill
A high-speed chase ended in investment arrests,Crime,high speed chase end invest arrest
The new curriculum focuses on teaching and science,Education,new curriculum focus teach scienc
The new curriculum focuses on national and math,Education,new curriculum focus nation math
Protests erupted over the proposed foreign changes,Politics,protest erupt propos foreign chang
Government announces a new healthcare policy,Politics,govern announc new healthcar polici
The football league season begins clinched,Sports,footbal leagu season begin clinch
Voter turnout was unusually funding during the yesterday election,Politics,voter turnout unusu fund yesterday elect
The president signed the supported act into law,Politics,presid sign support act law
Tech stocks merger significantly amid lowered fears,Business,tech stock merger significantli amid lower fear
Heavy rainfall causes the mountains in several districts,Weather,heavi rainfal caus mountain sever district
A major merger between conglomerate and cautious was announced today,Business,major merger conglomer cautiou announc today
Security forces prevent a extortion attempt,Crime,secur forc prevent extort attempt
